product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
[4th] Pocket Sheer Shirt - Charcoal,체,셔츠,128100,30.0,5.0,22,https://img.29cm.co.kr/item/202503/11eff8e2d49a3da5acea47f7a784180c.jpg,29CM,https://product.29cm.co.kr/catalog/3074346
G DEEP SCOOP TEE (WHITE),글로니,반소매 티셔츠,38880,19.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1493e787d189485ee5b73281954b9.jpg,29CM,https://product.29cm.co.kr/catalog/3937019
"[오제, 묵화 PICK] 에센셜 라운드넥 반팔 티셔츠 MDTS073_10 Colors",몽돌,반소매 티셔츠,23590,36.0,5.0,550,https://img.29cm.co.kr/item/202603/11f128cfe3e36d419454f55a8a0462c2.jpg,29CM,https://product.29cm.co.kr/catalog/3185392
[라지세트] 원더 트레이 라지 1P+머그 라지1P (5color),시리츠,식판/나눔접시,24310,15.0,5.0,132,https://img.29cm.co.kr/item/202512/11f0dc062f6666f4a3c08bda90bf128a.jpg,29CM,https://product.29cm.co.kr/catalog/3687788
[SET][2026 말띠 출산선물][태명자수]포니 딸랑이 세트(toy+socks),모노레임,양말,29050,25.0,5.0,406,https://img.29cm.co.kr/item/202512/11f0da5f1c891716a3c0ad02cce5858f.jpg,29CM,https://product.29cm.co.kr/catalog/3677009
"[누가영PICK] 엘리즈 모로 작가, 빈야드 나이트 에어 파자마 반팔 세트",뚜누,기타 세트,62730,24.0,5.0,23,https://img.29cm.co.kr/item/202604/11f12e39cd200fe689a07f1fa40109f5.jpg,29CM,https://product.29cm.co.kr/catalog/3880293
"[누가영PICK] 엘리즈 모로 작가, 소프트 유토피아 스트라이프 파자마 반팔 세트",뚜누,기타 세트,62730,24.0,5.0,18,https://img.29cm.co.kr/item/202604/11f12e3934af67a09ec5c7d4ba71f53d.jpg,29CM,https://product.29cm.co.kr/catalog/3880297
[32th][ESSENTIAL] SQUARE NECK KNIT SLEEVELESS_6 COLOR,닉앤니콜,슬리브리스,19890,49.0,4.5,2680,https://img.29cm.co.kr/next-product/2021/06/11/6f3fb5e6269b44fa9f50080b915d5091_20210611141627.jpg,29CM,https://product.29cm.co.kr/catalog/1132344
[해원 PICK] 실크핏 모던반반 반팔 커플 잠옷 세트,도씨,반소매 세트,33110,43.0,5.0,154,https://img.29cm.co.kr/item/202604/11f12d9ade0ad045b493ab47b2d6d71b.jpg,29CM,https://product.29cm.co.kr/catalog/2577893
WIDE NECK MINI CARDIGAN_CREAM,오버듀플레어,카디건,65550,5.0,5.0,4,https://img.29cm.co.kr/item/202604/11f13effc61dcbcc85eea9ca5c9be497.jpg,29CM,https://product.29cm.co.kr/catalog/3931165
아기 물티슈 캡형 (70매 10팩 1박스),프랭클린,청소용품,26510,42.0,5.0,691,https://img.29cm.co.kr/item/202410/11ef94cf823866048fb2cd9ab4c8e594.jpg,29CM,https://product.29cm.co.kr/catalog/2916221
[29CM 단독] 드레이프 슬리브리스 블라우스 NEW6MB508_2color,온앤온,블라우스,101370,36.0,5.0,4,https://img.29cm.co.kr/item/202604/11f13f73b7b5312685eeb9edba2b7a3f.jpg,29CM,https://product.29cm.co.kr/catalog/3937672
Light Oversized Check Shirts Blue / Black,미치코런던 코시노,셔츠,58140,19.0,4.5,194,https://img.29cm.co.kr/item/202602/11f10652f6fa275ca3c0e3b2f8f9c675.jpg,29CM,https://product.29cm.co.kr/catalog/3748753
Heart Series Set 하트 시리즈 세트,알엠에스,접시세트,41360,19.0,5.0,105,https://img.29cm.co.kr/item/202602/11f10e279f2dac96a540bd7dce584647.jpg,29CM,https://product.29cm.co.kr/catalog/3698103
[보자기포장]소일 롱플레이트 & 소스볼 선물세트 (3colors),인소일,접시세트,37780,19.0,5.0,225,https://img.29cm.co.kr/item/202604/11f13bf28422e5f085eec36165d2fb3e.png,29CM,https://product.29cm.co.kr/catalog/2713663
[5th] Jersey String Maxi Skirt - Charcoal,체,롱,72100,30.0,4.5,12,https://img.29cm.co.kr/item/202603/11f11e7d15634b2ea3c03f9bb860bb37.jpg,29CM,https://product.29cm.co.kr/catalog/3802185
아이즈 슬리퍼 (그레이/핑크),이야이야앤프렌즈,실내화,33300,12.0,5.0,13,https://img.29cm.co.kr/item/202601/11f0eab6a95df654a5406bd8c93f688b.jpg,29CM,https://product.29cm.co.kr/catalog/3709634
PWC EVERYDAY BALLOON JOGGER PANTS_18COLOR,파르티멘토 우먼,트레이닝,38530,27.0,5.0,1595,https://img.29cm.co.kr/item/202602/11f1065e8d9969e2a540b78b5577ef66.jpg,29CM,https://product.29cm.co.kr/catalog/3334217
[장다연 PICK] LOND WAIST TUCK  BLOUSE (Z-BL-4225),아틀리에 나인,블라우스,36750,25.0,5.0,1890,https://img.29cm.co.kr/item/202604/11f1443e2ae7a0a9bc9203b7952e90f1.jpg,29CM,https://product.29cm.co.kr/catalog/2605280
(Uni) Vivid One-mile Pants Magenta pink,미치코런던 코시노,하의,39570,19.0,5.0,6,https://img.29cm.co.kr/item/202604/11f139d80df70ef1bc92b5e268ca1e63.jpg,29CM,https://product.29cm.co.kr/catalog/3914560
Rose Petal Tee-Olive,비터셀즈,반소매 티셔츠,36750,25.0,5.0,121,https://img.29cm.co.kr/item/202603/11f1242bc584e2adb4938bcefcc9d9c7.jpg,29CM,https://product.29cm.co.kr/catalog/3853196
[ESSENTIAL] RELAXED SEMI BAGGY JEANS - BLACK,오데스,와이드,169200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147ccda2627ae85eeff8433f56406.jpg,29CM,https://product.29cm.co.kr/catalog/3970213
[이은주PICK][XS 사이즈 추가] SIPT7153 컴포트 라인 카프리 팬츠_Black,시야쥬,기타 팬츠,64310,28.0,5.0,123,https://img.29cm.co.kr/item/202605/11f14749446302f285ee5935715b9b20.jpg,29CM,https://product.29cm.co.kr/catalog/3085644
Rose Petal Tee-White,비터셀즈,반소매 티셔츠,36750,25.0,5.0,82,https://img.29cm.co.kr/item/202603/11f1264aa9981dbfb493756198d7a6f4.jpg,29CM,https://product.29cm.co.kr/catalog/3853199
[재입고] 글리오 실버문_FS261OD03X032_031,휠라,로우탑,109000,0.0,5.0,259,https://img.29cm.co.kr/item/202605/11f149b0fdd40c3a85ee75010ecac049.jpg,29CM,https://product.29cm.co.kr/catalog/3759707
[3rd] Loose-fit paper knit [KNSS07KN01]_Cream beige,노운베러,기타 니트,69360,32.0,5.0,31,https://img.29cm.co.kr/next-product/2026/04/03/22d52a6b8eb94ddabc4983cca7d9a6e9_20260403165750.jpg,29CM,https://product.29cm.co.kr/catalog/3896753
하이레그 노라인 오프 슬림 팬티  - 4Colors,엣프터,팬티,15000,25.0,4.5,18,https://img.29cm.co.kr/item/202508/11f07c160a1728fc8893c1d8a67c8646.jpg,29CM,https://product.29cm.co.kr/catalog/3435197
베이비코튼 신생아 아기 끈나시 바디슈트_8Colors,바니블라썸,바디수트,10600,20.0,0.0,0,https://img.29cm.co.kr/item/202604/11f142b1206a551c85ee7d9aac7212b6.jpg,29CM,https://product.29cm.co.kr/catalog/3958697
DISTRESSED STRAIGHT JEANS - BLUE,오데스,스트레이트,205200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147ce22d86d4a85ee2b0b75b004a6.jpg,29CM,https://product.29cm.co.kr/catalog/3970231
[3rd] Round u button tee (2 color),포에토,반소매 티셔츠,37870,23.0,5.0,1,https://img.29cm.co.kr/item/202604/11f14450602c8a0dbc92b90eaf8eb55a.jpg,29CM,https://product.29cm.co.kr/catalog/3949176
GATHERED JERSEY MIDI SKIRT - GREY,오데스,미디,133200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147cc0c8f62ba85ee5d40407b50ac.jpg,29CM,https://product.29cm.co.kr/catalog/3970201
Black Jeans (Black),네세서리,데님,74970,24.0,5.0,221,https://img.29cm.co.kr/item/202508/11f081705db07204889359ddfd93ee13.jpg,29CM,https://product.29cm.co.kr/catalog/3125035
NBRJGS440S / 브리즈 / SD2202SG2 (SILVER),뉴발란스,기타,129000,0.0,5.0,202,https://img.29cm.co.kr/item/202603/11f11e792c84e926a3c0c9dbdcf2cd05.jpg,29CM,https://product.29cm.co.kr/catalog/3839097
아웃도어 프로덕츠 와이드 커버 사파리햇 (8colors),아웃도어 프로덕츠,기타모자,17180,66.0,0.0,0,https://img.29cm.co.kr/item/202604/11f1395b7a091a0e85eea3c0233fef4b.jpg,29CM,https://product.29cm.co.kr/catalog/3930587
GLITTER HALTER TOP_PEARL WHITE,오버듀플레어,슬리브리스,62100,10.0,0.0,0,https://img.29cm.co.kr/item/202604/11f13f048dd39a1285eea91d27b6dc75.jpg,29CM,https://product.29cm.co.kr/catalog/3931132
Nude midi skirt_navy,위드아웃썸머,하의,57800,15.0,0.0,0,https://img.29cm.co.kr/item/202604/11f142cf6c99fb65bc92551257f85c1e.jpg,29CM,https://product.29cm.co.kr/catalog/3946641
Easy Notebook,백상점,노트/메모,3500,0.0,5.0,71,https://img.29cm.co.kr/item/202604/11f137c685a5e4fa85ee639562cb4014.jpg,29CM,https://product.29cm.co.kr/catalog/268140
ROOFTOP CAT APPLIQUE SWEAT SHOULDER BAG MINT,론론,,59400,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1492836a9e7b7bc929ba48023e4a9.jpg,29CM,https://product.29cm.co.kr/catalog/3973532?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
ROOFTOP CAT APPLIQUE SWEAT SHOULDER BAG BLACK,론론,,59400,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1492836a9e7b5bc928dcf11ba55c2.jpg,29CM,https://product.29cm.co.kr/catalog/3973531?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
RIBBON PONY APPLIQUE SWEAT SHOULDER BAG GREY,론론,,59400,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1492836a9c0a3bc9293013269a157.jpg,29CM,https://product.29cm.co.kr/catalog/3973530?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
BOW LEATHER BAG [ EGG ],아우로,,92650,15.0,0.0,0,https://img.29cm.co.kr/item/202605/11f149c432a508e1bc924fd611a73514.jpg,29CM,https://product.29cm.co.kr/catalog/3938838?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
PEEKING CAT STRING BAG IVORY,론론,,39600,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f1492836a26e39bc929962f72c50e0.jpg,29CM,https://product.29cm.co.kr/catalog/3973478?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
BOW LEATHER BAG [ CHERRY ],아우로,,92650,15.0,0.0,0,https://img.29cm.co.kr/item/202605/11f149bcc8f9a8c3bc92e13dc8e8b974.jpg,29CM,https://product.29cm.co.kr/catalog/3938837?categoryLargeCode=269100100&categoryMediumCode=&categorySmallCode=
