product_name,brand,sub_category,price,rating,review_count,image_url,source,source_url
슈프림 스몰 박스 데님 셔츠 블랙 - 25FW,Supreme,긴소매셔츠,315000,0,158.0,https://kream-phinf.pstatic.net/MjAyNjAzMThfMjM3/MDAxNzczODAzMzQzMDMx.VN3rrhqWZUPUI15ghz-7MW5oAFJ3GdEak83EAMRoQcog.jfF22ataI2K0DJytC0roRYtyzHPDO8ZpyAL-2RP5_eog.PNG/a_d5011a96427648d480f79b7992c13e6c.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/593827
폴리테루 루즈드 체크 셔츠 블루 네이비,Polyteru,긴소매셔츠,168000,0,,https://kream-phinf.pstatic.net/MjAyNjA0MzBfMTMz/MDAxNzc3NTU2ODQzMzc0.mQO8QFM_XRxZ2AcSO3htqF7rPKHXk3Ch2XS3upXRKEkg.dzII1n3yRBY27oxttIAEJwvs6WeOFLemD0u9CHpwIagg.PNG/p_d94edeeb8fbb42929935a5d8461357d9.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/904408
슈프림 스몰 박스 데님 셔츠 워시드 인디고 - 25SS,Supreme,긴소매셔츠,359000,0,606.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjcz/MDAxNzUzODgxODM4OTkx.ca-hEh7QtISyvYyanyeJxodVGx7rdJz3PLPXpjNQEoog.Es7rOAEo8QfaQNjDz9jLK5iw5TLhyIK8e701uumoPKsg.PNG/a_421a3df4b6d041edaed3c18bc2d93555.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/453055
논노드 플렉서블 스트링 체크 셔츠 재패니즈 린넨 블루,Nonnod,긴소매셔츠,419000,0,113.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTM0/MDAxNzUzODgxNTU4MTAy.exLTBdyOubWqkpwGV1_vXUn_eLJgzFwg0sXZeS8a1hMg.utWOllHH4fo3VlPekdLoOBy9vyNw81oneJYwkdKEG_wg.PNG/a_7b9cb0c7f29a45c3a0900cf1a28d41d1.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/281579
아워레가시 보로우드 셔츠 로와 플란넬 체크 핑크 그레이,Our Legacy,긴소매셔츠,338000,0,28.0,https://kream-phinf.pstatic.net/MjAyNTEwMDFfNzMg/MDAxNzU5Mjk5NDc3NTg5.LFMRYLsAk5lRXIlinSfoxPSo-1ObE_SZkeZlQkCWidIg.Jm1aMHeDdVCMBQ-pJn6iCpJZMoDq55g4PlNgjoFyGMsg.PNG/a_7b3c41f1013248fd83fb8f98dab9cb90.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/597925
논노드 바이어스 폴로 셔츠 브라운 스트라이프,Nonnod,긴소매셔츠,139000,0,25.0,https://kream-phinf.pstatic.net/MjAyNjAyMTlfMjY0/MDAxNzcxNDkyNTYwNjY3.-D-rTFtD23F1vtRWEhgRBXmLwPm9IWz_mc_PNhgkfC0g.0rvGAmwA-SEojS24tzBrxcHjbXfGPKPTPAvS6VLJ43Ig.PNG/a_a7bac3f6903647c490b39981df875521.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/797618
아디다스 바이에른 뮌헨 LFSTLR 저지 리넨 - KR 사이즈 (논 마킹 버전),Adidas,긴소매셔츠,69000,42,234.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjQ0/MDAxNzUzODgxNTA4MjM3.xIwH0x7cMk-ttxo3qM0nyda12ZBZgZeFcRUdylP2WHEg.lLP-SPglSTBwJRaRNutkBOy00MkzI8XhtctwT0o-2ygg.PNG/a_3a1a9226c0564f8eb11d313c3ad09be6.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/334107
아이앱 스튜디오 웍스아웃 20주년 워크 셔츠 블루 스트라이프,IAB Studio,긴소매셔츠,154000,0,54.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjcx/MDAxNzUzODgyMzYxMzg4.H8ZSht_umTQZ-reqEMstYyVDtTadHSt6r-l7UpdbD_4g.7WJGKd9MJHaDVAxReeDLuJSX0CueuG-hSUbU47xCKv4g.PNG/a_a4b4766fbaa143d89519edcee0259bb3.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/207655
톰브라운 옥스포드 스트라이프 그로그랭 암밴드 클래식 셔츠 화이트,Thom Browne,긴소매셔츠,300000,58,47.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjI4/MDAxNzUzODgxNTE0NDA4.VgHijdarpVTgmNX47diK-mLkdTVh8stx2nOi9Hlv8RIg.BsH7DPPrNbZeanIulAX34GiMCpJFgoHxbVmjEo8tdysg.PNG/a_4ca2ac3bc6c8489cab6d2b6ce3d4bf3e.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/58373
아워레가시 보로우드 셔츠 체크 플리즈 프린트,Our Legacy,긴소매셔츠,379000,38,,https://kream-phinf.pstatic.net/MjAyNjAxMjFfMjQx/MDAxNzY4OTc1Njc1NDMy.jcVjBY_1kt6-RrgkVLSBgshXanNlGMmnfpQMOcYIiSkg.40D_ILYzPzLREXqyRzoIYM4VZTvLVYo5Oi_Z_QbyMtsg.PNG/a_b36a767ebcfb47c28e3216fc6dc4b9cf.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/766589
