product_name,brand,category,sub_category,price,discount_rate,rating,review_count,tags,description,image_url,source,source_url
민트 도트 스타 레터링 오버핏 후드 집업,누아브,집업/점퍼,,25900,27,0.0,0.0,,,https://d3ha2047wt6x28.cloudfront.net/Z9XQLGNMb0k/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2QzZTNiZTkyZmFkYzM3OTE1ZGE4MDliMGM5NTEwMWMyLmdpZg,에이블리,https://m.a-bly.com/goods/68163278
[P.B MADE]  바닐라 레이스 무드 펀칭 슬리브리스 + 가디건 set - 3color,퍼빗,가디건,,49100,7,0.0,0.0,"여름,여름가디건,여름신상가디건,여름나들이가디건,바캉스가디건,퍼빗가디건,환승연애룩가디건,연프룩가디건,데이트룩가디건,출근룩가디건,하객룩가디건,썸머가디건,크롭가디건,브이넥가디건",,https://d3ha2047wt6x28.cloudfront.net/s2FHhnjC6MQ/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzkxZDRiOTI2NDM2N2QxOTZhYTFhNTc3ZmE5ODAyOTVlLmdpZg,에이블리,https://m.a-bly.com/goods/68212416
[ 살안타가디건] 버터모어 - cd,영앤리치,가디건,,25200,26,0.0,0.0,가디건,,https://d3ha2047wt6x28.cloudfront.net/s906CjjL7j8/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzNiODNjYzdmZjU2NDY5ZjQyYTM1ZjZjZDkzMmUwYzVlLmdpZg,에이블리,https://m.a-bly.com/goods/68213307
[캡내장] 블러셔 발렛무드 쉬폰나시 + 썸머 가디건 set - 2color,퍼빗,가디건,,27710,7,0.0,0.0,"blusher,set,여름,여름가디건,여름신상가디건,여름나들이가디건,바캉스가디건,퍼빗가디건,환승연애룩가디건,연프룩가디건,데이트룩가디건,출근룩가디건,하객룩가디건,썸머가디건,크롭가디건,브이넥가디건",,https://d3ha2047wt6x28.cloudfront.net/W6qslUF_X1c/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2ViMGMwYTUxMjY2MGViYmEyMjE0MmQ2YzgyZGVkMWY3LmdpZg,에이블리,https://m.a-bly.com/goods/68212384
[ 살안타템/ 2사이즈 ] 미스티 여름 데일리 골지 크롭 니트 긴팔 가디건,블러핏,가디건,,24800,16,0.0,0.0,"여름가디건,봄가디건,가디건,골지가디건,살안타템,에어컨방지템,썸머가디건,슬림핏가디건,기본가디건,데일리가디건,번따룩,여친룩,데이트룩,데일리룩,캠퍼스룩,크롭가디건,여행룩,휴가룩,여름휴가,바캉스룩,살안타템가디건,살안타템니트,여름니트,휴양지룩,시스루가디건,쿨링가디건",,https://d3ha2047wt6x28.cloudfront.net/tQoHg6FZrj0/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2RmZjllZTI2YWZiZTQ5MzFlNmI1Mjc0YmJlMjg3MGQ4LmdpZg,에이블리,https://m.a-bly.com/goods/68121034
아디다스 여성 키즈 솔로 트레포일 파이어버드 자켓 2컬러,유어엘에이,집업/점퍼,,99900,18,0.0,0.0,"아디다스,아디다스자켓,바람막이,봄아우터,봄자켓,트랙자켓,아디다스트랙자켓,수학여행,수학여행코디,스트릿룩,꾸안꾸,저지자켓,아디다스저지,트레이닝자켓,트레이닝,파이어버드자켓,집업,아디다스집업",,https://d3ha2047wt6x28.cloudfront.net/hB58bklkynY/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzczMDliOWNmMzNkNGM5ODc2NzBiMmU1NTliOWRkN2Y4LmdpZg,에이블리,https://m.a-bly.com/goods/67604833
[데이빈m/국내제작] 리베 코튼 린넨 클램 cd,데이빈,가디건,,29980,7,0.0,0.0,,,https://d3ha2047wt6x28.cloudfront.net/RM15pMaxQh4/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzAzZDcwY2U2OGVjM2Q0MWQ0ZjlmYmY3NWJhYzYyMjk3LmdpZg,에이블리,https://m.a-bly.com/goods/68132304
레이온 크랍 가디건  화이트 (35645ACM51) 여성,에잇세컨즈,가디건,,34900,0,0.0,0.0,,,https://d3ha2047wt6x28.cloudfront.net/XRbWSqfp4tQ/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2Q5M2EzNTgyZGZhYTJmNGU3YTFiOWEyZGVmYjc4NzZhLmpwZw,에이블리,https://m.a-bly.com/goods/68142084
[살안타템/썸머가디건] 이젤 여리핏 골지 라운드 긴팔 니트가디건 - 7color,슈가파우더,가디건,,22220,42,100.0,1.0,"가디건,파스텔가디건,파스테린트,니트가디건,긴팔가디건,골지니트,골지가디건,여름가디건,여름니트,린넨가디건,여름긴팔,살탐방지,살안타,살안타템,시스루,시스루가디건,시스루긴팔,골지,루즈핏가디건,얇은가디건,민트코어,여리핏,가디건추천,여름옷,여름신상,간절기가디건,여름코디,얇은긴팔,라운드가디건,크롭가디건",,https://d3ha2047wt6x28.cloudfront.net/gV-RQJlS-iM/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzFkNzBjYmQ3MmM1YTdkYjBlZDg2YjE2NDJjMjRkNTdkLmdpZg,에이블리,https://m.a-bly.com/goods/67726639
[P.B MADE] 로드 여리셔링 슬리브리스 + 가디건 set - 3color,퍼빗,가디건,,34410,7,0.0,0.0,"Rode,Cardigan,Set,여름,여름가디건,여름신상가디건,여름나들이가디건,바캉스가디건,퍼빗가디건,환승연애룩가디건,연프룩가디건,데이트룩가디건,출근룩가디건,하객룩가디건,썸머가디건,크롭가디건,브이넥가디건",,https://d3ha2047wt6x28.cloudfront.net/8sv6yUmVv34/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzU1MTYzNTZkZjJkNDNmMGQ3Y2ZjZTM3MDYxMTI3ZThiLmdpZg,에이블리,https://m.a-bly.com/goods/68212401
