product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
가민 디센트 T1 트랜스미터 MK2i전용,가민,기타 장비/용품,500000,0.0,0.0,0,https://img.29cm.co.kr/next-product/2025/03/21/bff090a2e07c4dba8116cce9f5b28a85_20250321150315.jpg,29CM,https://product.29cm.co.kr/catalog/3058145?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 플라스크 500ml_LC1916000,살로몬,기타 장비/용품,33000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234378b84850a3c007b20c37a5a6.png,29CM,https://product.29cm.co.kr/catalog/3864528?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 4_LC2863200,살로몬,기타 장비/용품,150000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12369319fa4b8a5407383a9b69661.png,29CM,https://product.29cm.co.kr/catalog/3706256?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 컵 스피드 150ml_LC1917600,살로몬,기타 장비/용품,15000,0.0,5.0,1,https://img.29cm.co.kr/item/202603/11f1234e092cfb14a3c01575435c0eaa.png,29CM,https://product.29cm.co.kr/catalog/3864522?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
[GROVE X Wilson] 와이드 헤드밴드 W (2color),윌슨,기타 장비/용품,35000,0.0,5.0,2,https://img.29cm.co.kr/item/202604/11f13947e8c9179285ee5fa5fcabf0c4.png,29CM,https://product.29cm.co.kr/catalog/3903055?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
펄스 슬링 벨트_LC2710400,살로몬,기타 장비/용품,45000,0.0,5.0,1,https://img.29cm.co.kr/item/202604/11f13fb4541b899285ee873da8bc9e1a.png,29CM,https://product.29cm.co.kr/catalog/3953634?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
러닝 벨트 - 블랙,포몬스터,기타 장비/용품,24000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12c9c5e101b099454633bdca47be5.jpg,29CM,https://product.29cm.co.kr/catalog/3865659?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 12_LC2177400,살로몬,기타 장비/용품,200000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12368a7bc6a5ca54049ed5a12529e.png,29CM,https://product.29cm.co.kr/catalog/3707831?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
리베아르 아쿠아렉스 오리발 숏핀 5color,리베아르,기타 용품,43000,27.0,4.5,7,https://img.29cm.co.kr/item/202505/11f02adebe1d1b38893059ea6c00ba30.jpg,29CM,https://product.29cm.co.kr/catalog/3262250?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 핸드헬드_LC1928600,살로몬,기타 장비/용품,45000,0.0,5.0,1,https://img.29cm.co.kr/item/202603/11f1234f251e3082a5409b1de4ce8783.png,29CM,https://product.29cm.co.kr/catalog/3864518?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
펄스 슬링 벨트_LC2711000,살로몬,기타 장비/용품,45000,0.0,0.0,0,https://img.29cm.co.kr/item/202604/11f13fb4abeb17fa85eea932e9b1bcc6.png,29CM,https://product.29cm.co.kr/catalog/3953633?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
미즈노 퍼포먼스 손목형 쿨토시 2PACK (7colors),미즈노,반장갑/워머,11900,52.0,5.0,10,https://img.29cm.co.kr/item/202605/11f1477dbdb02dfa85eeff38e9f1284c.jpg,29CM,https://product.29cm.co.kr/catalog/3283697?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 4_LC2178200,살로몬,장비/용품,150000,0.0,5.0,22,https://img.29cm.co.kr/item/202603/11f1236a9ce254e4a540e7946cd838ac.png,29CM,https://product.29cm.co.kr/catalog/3196554?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
아웃도어 프로덕츠 시그니처 손목형 팔토시 2SET (5colors),아웃도어 프로덕츠,장비/용품,7720,69.0,5.0,8,https://img.29cm.co.kr/item/202604/11f13d59caeeb057bc92b3344488a52a.jpg,29CM,https://product.29cm.co.kr/catalog/3284953?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
UV 차단 초냉감 팔토시 White (S26ZUTSU62),스노우피크 어패럴,기타 장비/용품,33250,5.0,5.0,1,https://img.29cm.co.kr/next-product/2026/04/24/ada363655ba641c4b393c0ecd1ae4fb8_20260424140027.jpg,29CM,https://product.29cm.co.kr/catalog/3951085?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
UV 차단 초냉감 팔토시 Black (S26ZUTSU62),스노우피크 어패럴,기타 장비/용품,33250,5.0,0.0,0,https://img.29cm.co.kr/next-product/2026/04/24/5272927acebd4906871a89f0053d7d0a_20260424140010.jpg,29CM,https://product.29cm.co.kr/catalog/3951087?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
쿨링 팔토시 Black (S25MUTSU77),스노우피크 어패럴,장비/용품,25000,29.0,5.0,3,https://img.29cm.co.kr/item/202504/11f0135d5e77c8a6b13141911250ffb4.jpg,29CM,https://product.29cm.co.kr/catalog/3198387?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
쿨링 팔토시 Dark Khaki (S25MUTSU77),스노우피크 어패럴,장비/용품,25000,29.0,5.0,1,https://img.29cm.co.kr/item/202504/11f0135d6749525eb13173e261564cd4.jpg,29CM,https://product.29cm.co.kr/catalog/3198389?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 밸브 커버_LC2019900,살로몬,기타 장비/용품,19000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234e3f1be5aca3c085b491fea86f.png,29CM,https://product.29cm.co.kr/catalog/3864520?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
쿨링 팔토시 Off White (S25MUTSU77),스노우피크 어패럴,장비/용품,25000,29.0,5.0,3,https://img.29cm.co.kr/item/202504/11f0135d6ddf4457b1705569a5f733fd.jpg,29CM,https://product.29cm.co.kr/catalog/3198392?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
쿨링 팔토시 Vintage Green (S25MUTSU77),스노우피크 어패럴,장비/용품,25000,29.0,5.0,2,https://img.29cm.co.kr/item/202504/11f0135d73ea821bb170132d90b2d59d.jpg,29CM,https://product.29cm.co.kr/catalog/3198393?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
러닝 액티브 넥게이터_White YUA24Z05W2,다이나핏,기타 장비/용품,24500,50.0,0.0,0,https://img.29cm.co.kr/next-product/2026/01/20/7a64700455644d6db0f5714adc28ac0c_20260120105359.jpg,29CM,https://product.29cm.co.kr/catalog/3729615?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
